subject_id,session_id,timestamp_utc,source_system,device,modality,channel,value,unit,sampling_rate_hz,quality_flag,label_name,label_value
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,behavior,gaze_x,0.2701592925914831,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,behavior,gaze_y,0.11312078889032229,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,behavior,interact_trigger,0.0,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,motion,pitch,-0.3468548951557497,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,motion,pos_x,0.0008249430428370295,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,motion,pos_y,1.599013437025856,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,motion,pos_z,0.10262331073789226,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,motion,roll,-0.09311743547911618,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,motion,yaw,0.9035090735807836,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00+00:00,vr_session,vr_ar_headset,ppg,hr,69.51392554323614,bpm,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,behavior,gaze_x,0.10655535171487396,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,behavior,gaze_y,0.06393407265528672,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,behavior,interact_trigger,0.0,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,motion,pitch,0.18484274858626143,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,motion,pos_x,-0.0045441841662088546,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,motion,pos_y,1.5966062781786765,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,motion,pos_z,0.09404214529805607,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,motion,roll,-0.09998156129110687,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,motion,yaw,-1.070490315849945,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.020000+00:00,vr_session,vr_ar_headset,ppg,hr,70.5848621498,bpm,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,behavior,gaze_x,0.7063249928304951,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,behavior,gaze_y,0.6691842985188837,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,behavior,interact_trigger,0.0,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,motion,pitch,-0.07287227878701356,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,motion,pos_x,0.0007051504964130621,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,motion,pos_y,1.6031162928308231,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,motion,pos_z,0.09499415737897178,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,motion,roll,0.011134599179214813,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,motion,yaw,-0.638116086775386,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.040000+00:00,vr_session,vr_ar_headset,ppg,hr,73.42979479873325,bpm,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,behavior,gaze_x,0.13851413084130637,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,behavior,gaze_y,0.39504634075389267,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,behavior,interact_trigger,0.0,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,motion,pitch,-0.3719395615640941,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,motion,pos_x,0.007162307746812835,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,motion,pos_y,1.5973902215494196,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,motion,pos_z,0.1275040841127413,m,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,motion,roll,0.0182899379070048,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,motion,yaw,0.6881914520600761,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.060000+00:00,vr_session,vr_ar_headset,ppg,hr,70.59817352873041,bpm,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.080000+00:00,vr_session,vr_ar_headset,behavior,gaze_x,0.11296141260234527,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.080000+00:00,vr_session,vr_ar_headset,behavior,gaze_y,0.6826793987973709,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.080000+00:00,vr_session,vr_ar_headset,behavior,interact_trigger,0.0,a.u.,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.080000+00:00,vr_session,vr_ar_headset,motion,pitch,0.13108389476026905,deg,50.0,ok,,
vr_sub01,vr_ses01,2026-01-01 00:00:00.080000+00:00,vr_session,vr_ar_headset,motion,pos_x,-0.01716790612245516,m,50.0,ok,,
